pais,green,orange,red,yellow,black,population,superficie
Afghanistan,0,0,0,1,1,38928346.0,652230
Algeria,247,44,122,208,621,43851044.0,2381741
Angola,2,0,2,0,4,32866272.0,1246700
Argentina,22,6,33,13,74,45605886.0,2780400
Armenia,1,0,0,1,2,2963243.0,29743
Australia,304,28,229,81,642,25499884.0,7692024
Austria,3,0,3,1,7,9006398.0,83871
Azerbaijan,0,0,2,0,2,10139177.0,86600
Bangladesh,0,1,7,0,8,164689383.0,147570
Belarus,1,0,4,0,5,9449323.0,207600
Belgium,0,1,2,2,5,11589623.0,30528
Belgium 7904,3,0,2,0,5,,0
Bolivia,0,1,1,0,2,11673029.0,1098581
Bosnia and Herzegovina,1,0,0,0,1,3280819.0,51197
Botswana,0,0,4,0,4,2351627.0,581730
Brazil,14,4,31,8,57,212559417.0,8515767
Bulgaria,2,0,4,0,6,6948445.0,110879
Burkina Faso,1,1,8,0,10,20903273.0,274200
Cambodia,0,0,2,0,2,16718965.0,181035
Cameroon,2,0,0,1,3,26545863.0,475442
Canada,14,1,38,8,61,38233000.0,9984670
Central African Republic,0,1,0,0,1,4829767.0,622984
Chad,1,0,1,0,2,16425859.0,1284000
Chile,238,17,84,65,404,19116201.0,756102
China,23,8,58,14,103,1439323776.0,9596961
Colombia,1,0,0,1,2,50882891.0,1141748
Costa Rica,0,0,1,0,1,5094118.0,51100
Croatia,0,0,2,2,4,4105267.0,56542
Cuba,1,0,0,0,1,11326616.0,109884
Czech Republic,3,3,13,5,24,10708981.0,78867
Democratic Republic of the Congo,0,1,2,2,5,92376887.0,2345095
Denmark,1,0,4,2,7,5818553.0,43094
Ecuador,0,0,1,0,1,17643054.0,276841
Egypt,27,1,13,5,46,102334404.0,1002450
Estonia,2,0,2,0,4,1326535.0,45227
Eswatini,0,0,1,0,1,1160164.0,17364
Ethiopia,2,0,4,1,7,114963588.0,1104300
Finland,5,0,6,1,12,5540720.0,338424
France,9,8,50,7,74,67059887.0,551695
Germany,19,3,25,1,48,83783942.0,357386
Ghana,0,0,1,0,1,31072940.0,238533
Greece,0,1,0,0,1,10423054.0,131957
Greenland,0,0,3,1,4,56770.0,2166086
Guatemala,0,0,1,0,1,17915568.0,108889
Honduras,0,0,1,0,1,9904607.0,112492
Hungary,3,0,3,2,8,9660351.0,93028
Indeterminate,19866,242,506,1479,22093,,0
India,19,13,88,13,133,1393409038.0,3287263
Indonesia,2,0,9,8,19,273523615.0,1904569
Iran,0,1,1,1,3,83992949.0,1648195
Iraq,0,0,2,1,3,40222493.0,437072
Ireland,3,0,2,0,5,4937786.0,70273
Israel,0,0,1,0,1,8655535.0,20770
Italy,3,3,28,3,37,60367482.0,301340
Jamaica,1,0,0,0,1,2961167.0,10991
Japan,12,3,32,7,54,126476461.0,377975
Jordan,0,1,0,0,1,10069794.0,89342
Kazakhstan,6,0,7,2,15,18776707.0,2724900
Kenya,212,1,5,9,227,53771296.0,580367
Laos,1,0,0,0,1,7275560.0,236800
Latvia,0,0,2,1,3,1886198.0,64589
Lebanon,0,1,0,0,1,6825442.0,10452
Lesotho,0,1,1,1,3,2142249.0,30355
Libya,634,123,211,495,1463,6871292.0,1759540
Lithuania,1,0,3,0,4,2722289.0,65300
Madagascar,0,0,1,0,1,27691019.0,587041
Malawi,0,1,2,3,6,19129952.0,118484
Mali,2,1,4,1,8,20250833.0,1240192
Mauritania,3,1,9,2,15,4649658.0,1030700
Mexico,37,7,34,18,96,126190788.0,1964375
Mongolia,1,2,6,1,10,3278292.0,1564110
Morocco,84,15,64,64,227,36910560.0,446550
Myanmar,0,0,3,0,3,54409800.0,676578
Namibia,4,1,10,3,18,2540905.0,824292
Netherlands,0,0,3,1,4,17134872.0,41543
New Zealand,2,0,6,0,8,4822233.0,270467
Niger,15,2,11,7,35,23310715.0,1267000
Nigeria,4,1,9,4,18,206139587.0,923768
North Korea,0,0,1,0,1,25778816.0,120538
Norway,1,1,9,2,13,5421241.0,323802
Oman,1452,242,502,898,3094,5106622.0,309500
Pakistan,2,1,10,3,16,225199937.0,881913
Papua New Guinea,0,1,0,1,2,8947024.0,462840
Paraguay,0,0,1,0,1,7132530.0,406752
Peru,0,0,1,2,3,32971846.0,1285216
Philippines,1,0,3,1,5,109581078.0,300000
Poland,4,3,9,4,20,37846611.0,312696
Portugal,2,1,3,0,6,10196709.0,92090
Qatar,0,0,1,0,1,2881060.0,11586
Romania,1,1,7,0,9,19237691.0,238397
Russia,26,7,76,22,131,145934462.0,17098242
Rwanda,0,0,1,0,1,12952218.0,26338
Saudi Arabia,10,2,18,2,32,35041038.0,2149690
Serbia,1,0,4,1,6,8737371.0,77474
Slovakia,2,0,4,2,8,5459642.0,49035
Slovenia,0,1,2,0,3,2078938.0,20273
Somalia,1,0,1,1,3,15893222.0,637657
Soul Buoy,10084,505,916,2023,13528,,0
South Africa,7,3,24,7,41,59308690.0,1221037
South Korea,0,1,1,0,2,51269185.0,100210
South Sudan,0,0,2,1,3,11193729.0,619745
Spain,6,4,19,2,31,46754778.0,505992
Sri Lanka,1,1,0,0,2,21413249.0,65610
Sudan,1,1,4,1,7,43849260.0,1861484
Sweden,57,1,17,4,79,10099265.0,450295
Switzerland,2,1,4,1,8,8654622.0,41284
Syria,0,0,1,0,1,17500658.0,185180
Tanzania,1,0,6,2,9,59734218.0,945087
Thailand,1,0,2,0,3,69799978.0,513120
Tunisia,14,2,27,3,46,11818619.0,163610
Turkey,1,0,11,1,13,84495243.0,783562
Turkmenistan,2,0,3,1,6,6031187.0,488100
Uganda,1,0,4,1,6,45741007.0,241551
Ukraine,10,3,24,5,42,43733759.0,603500
United Arab Emirates,18,0,3,7,28,9890402.0,83600
United Kingdom,5,2,13,3,23,68207116.0,243610
United States,676,70,714,202,1662,331002651.0,9833517
Uruguay,1,0,0,0,1,3473727.0,176215
Uzbekistan,0,0,2,0,2,33469203.0,447400
Venezuela,1,2,0,0,3,28435940.0,916445
Vietnam,1,0,0,2,3,97338579.0,331210
Western Sahara,2,0,0,2,4,597339.0,266000
Yemen,1,0,1,1,3,29825968.0,527968
Zambia,0,0,1,0,1,18383955.0,752612
Zimbabwe,1,0,1,1,3,14862924.0,390757
